items,location,session,images,clicks,impressions,conversions,advertiser,category
CELLO,Tenkasi,15,http://lh3.googleusercontent.com/OiQcXRvYGso3HgbUv8w5PVZTe0wq1DojJ30WbQBxoh2_AEpH6AsH280tfRoi9ViCLF-scI7K5BcDo5YpOxuzLoMa8VsmMA,462,4588,29,824,stationery
barbie girl,puliyankudi,16,http://lh3.googleusercontent.com/wabN2JW-cLpQvPe2mm0SiRwe0L5_5TCg9O0Ma07RcGtZpGuZvcbSXLUDiNNOsbFpyI0JOde4cGkpCwTXDoOalCMVD8ZsGw,401,38783,5,905,gifts
SONATA,Sankarankoil,12,http://lh3.googleusercontent.com/taI3a7SmbBgl3vTgaw1xs-DhSUMSzJK829WZZOzOPVjs-nFiEh33OI3_AUonmiJvWxcr3BXaOUuZNQcx8cafHKNbh5PahQ,314,95727,24,600,watches
CLARKES,Vikramasingapuram,10,http://lh3.googleusercontent.com/rQj0S93d9V3vuNbIYZbOJz1XxMj3wen_11FcNrsQwxCm8GxipWAsV3WoVWfBGeYkMRyFpGKFIzSD3W3SOLeHdQlrbC0pjLM,152,35344,53,530,shoes
AUDI,Ambasamudram,17,http://lh3.googleusercontent.com/O4eRAPRSyT46WPe7H9grv4NeXRwVg6rZddh-5Iw93-JX4PUCh4Ovbrq7W2bV-YmiORIC3dVJwGs4otyy4EHxLZIj5KN9IXE,663,40455,39,417,automotive
CELLO,Sengottai,8,http://lh3.googleusercontent.com/lsz5BF67r6IBMtztlne49mTo2pM1k23vXb_85iLEu1oyEyBr6ofF9Ub_pf-78MZ6rY0UZYwxKwkTvn95drk523k4lCF76Q,921,19772,17,493,stationery
jhonson babysoap,Tiruppur,20,http://lh3.googleusercontent.com/hwkuzmfiMrCmTGMJ8aHpWsEDeSSidOy5M-H0wTtoupaMYcKNMJROHlIXPYPePAs7Eaftdt78EovsL4trF8oT97nGzgCtVds,623,8720,60,195,babycare
greetings,Dharapuram,18,http://lh3.googleusercontent.com/3zmKiW36zNjJwKPMri6kbTDl6eaxQ5OBKzKxllyG2fz_QvgngbunzsX7PRMPoZTgiixDv3Mqupt7JqoC7DfOyvaJyAKptrI,184,8034,59,889,gifts
VOLKESWAGEN,Udumalaipettai,5,http://lh3.googleusercontent.com/MPCbU1M1h7c1tFsRe8FD4wwxmewmUmw6PoGNI9H1Gab6wfqnm5rfQgAUXXEEL3b4BF1LRaeQGE-3WHQf8jSR-UY7rgQ-MQ,411,77634,55,316,automotive
NEW BALANCE,Velampalayam,6,http://lh3.googleusercontent.com/uhgrEdhNzln1tAxDkkhXUZ_Ion6vcVEzFbh-18Ig36x9gVc1RCQ9y8CukDYT0o6CyEIbyrnYz6qtkIH9N2rA3t2ThuRZMg,378,48168,59,914,shoes
SANITA,Vellakoil,13,http://lh3.googleusercontent.com/_rIGC4v1VDuB0-3-tzyVg_yt_cNlhNqdc73SQLiRlmmwTOr8NdcySYPzdubqZcJwUXGXNjFNXoAl_JvODkpTPpTP7hdgeQ,243,81785,64,73,shoes
golden xiaomi,Palladam,19,http://lh3.googleusercontent.com/KDlbIpvn5fKgLhbjN8ey_8jbLNHzN-ytzOookUDmxesUqbDl6FOodJuRs_uQXMyVaD9xTnEWOSyWH4XAn10V1sY8Pjd6B9k,341,44289,51,4,powerbanks
NOVA,"Nallur, Tirupur",15,http://lh3.googleusercontent.com/xqq8EEoE-9xrlt_TZbgXF2ZuaOjPh7PC4YqFB3NuJT-9yNXxeTXFr4owfv-Rr8ax6AuDjEgZPRx6ga_hRIRbGDyi5LGK,900,36058,56,325,trimmers
CLARKES,Kangeyam,18,http://lh3.googleusercontent.com/zeNPZJgGLmwNrmgZPGIUhPAldnfNSKiHSzZRJNCITwe6xDYe_BZZgS84k9EqzNzfmW5MmAxORqJ41aYRiao0gb9kMUabTg,299,33857,66,563,shoes
teddy bear,Ambattur,1,http://lh3.googleusercontent.com/nqZTb3mOvci47WCZ02k2BQdu8-RTcF163h3qcpQrHEWPT5q9xzIB1eB7coyRz2lBppToogXG2Uzc0aTR0Yn-2p-K_FMNtFM,423,96032,60,169,gifts
COFFEE MUGS,Avadi,10,http://lh3.googleusercontent.com/0B4Lp4aP4lF1PlZDp1AROSI5-95gcdb5XuvHES7Lf_5rezGOYemBDkqHtzlcCFC4piwzVS36vJd9oM5o_fz4OKcCzWZO,29,95511,14,334,kitchenneeds
barbie girl,Tiruvottiyur,14,http://lh3.googleusercontent.com/1DF4374yxgDTvMqN5ISFk7INXXCqC56urPi9EWaIT6gn52csfU-lsCpHY6hk-1I62vWrr-VAABAUvgDk-I9Jt4cQwbOHBw,695,11909,5,289,gifts
NOVA,Madhavaram,12,http://lh3.googleusercontent.com/EXPldhk0Va8NHvljQrNrYKaCV1rHPEWCCS7j7stdRUckwU-COQrwPfWmP1rktBZ46GpdLpJrhhzjDhe2G9qC-5fq2cBd3g,914,20260,84,207,trimmers
jhonson baby oil,Tiruvallur,3,http://lh3.googleusercontent.com/7HM7Tlo45_EEv2AnCuOZA8Z0FVlyN46c2l3nW4id30mK1TPpq7CA2FayRECMPm5_Qzu9RY_pPOwY9-Hp8gaowZRzOqV3-g,908,25301,57,303,babycare
NEW BALANCE,Maduravoyal,1,http://lh3.googleusercontent.com/s4GQdDqmTDsQ2rhFjbePb1uld7DWYz3zYjyubzqu19hvfH1Hfzg78wrDERn8yQwx1oFqOA-xWEIEyFvf3KwAWNWH9Z_A1Q,918,36611,38,916,shoes
NATRAJ,Poonamallee,13,http://lh3.googleusercontent.com/_QiGFZ-ittVnWtwvuQkycOjDNbhDQUlxIg0i_nNUwgZlOucMjICqzYmlC9MEuecnrAar_4__z7b_2mS7rvB8u7Nqrfxe,894,93140,96,792,stationery
ARIAT,Thiruthani,13,http://lh3.googleusercontent.com/eumzZCjO8n6ef-3jGF0CFVuCk-FPAvyYkXbbuIdukluOwohVWBZQ5i2SyoqP5esakb81EMHFkjAqGRjQQKSIEYPtWHqO,441,61576,54,984,shoes
CLARKES,Kathivakkam,13,http://lh3.googleusercontent.com/AtIk1cmGt4WBx8sGP4z76HTJSHEen7xqg1rOw5VcIIUiZIc0JDNkoCUFkq1gB2VT867-A7EdnJYh5VA7q_pinbrzGJsVJdk,893,10733,38,641,shoes
ARIAT,Thiruverkadu,11,http://lh3.googleusercontent.com/szHK_t7WRHL1fKuOxA4rkFl5M8GcEweqDKfNXoukaxN_A9Mh-uSffP33wjbB6bIWY1yUBSXeyxMsvQ5NJoaqeb5tdzh3lQ,256,16744,15,435,shoes
COFFEE MUGS,Valasaravakkam,6,http://lh3.googleusercontent.com/5AjIKOkoMj_JotMa8M5GY7iFdJQsuvGJgD5l_33h2rdlUEQ_OyDmmZfvZEgMiKwK0CNjZOe0xMSpJ5DQFJcp9-1gRpj3,30,55800,38,665,kitchenneeds
MAXIMA,Manali,19,http://lh3.googleusercontent.com/zCFJc72EjbJ7fng2L3-hkUBqMCb1r1lTNujIoI5JTI4Ss1HlHXOFuMBj-cdU2CHwaAC2hRcrKkROWwq8e_DvkCHzG_RN-w,931,26168,31,652,watches
CELLO,Tiruchirappalli,6,http://lh3.googleusercontent.com/C-jZMFNcxSZiCOLXxSnO0AcR63zJ7017fMNN6EWT568yD6g-oSUqVELR33TiBp3yQfg0LjclU2KBHbY1jkSGezywIkbA,935,16890,42,144,stationery
greetings,Manapparai,7,http://lh3.googleusercontent.com/iFoqakTY_e7DJnT-xd_-b4sAY1H9-7PE_jFO-ggqg9eGhgOSOV5PTFmiRnRN3Gupwuj_B1g0VDur2k2tS_dbtijI138m_Q,490,760,40,799,gifts
NEW BALANCE,Thuvakudi,2,http://lh3.googleusercontent.com/VSaKhrrpkkITTEDYGluU5Qql47tRj1veEoEw2JYRucS2pgnOEzz-KUaVnRzM7wGov0bsUzBzi2Jq8r-DhzHPyk6mZfqWHg,318,18369,73,93,shoes
SKODA,Thuraiyur,20,http://lh3.googleusercontent.com/SjLTc3sJNwP5b_TUOIKeW3zuNgb934tD8CsAOb0IWxmkILfLowpvR0ktYoYjTu0Im4enrROZ30r2WR9T9eWTBL5-3pBKOKs,713,64011,37,102,automotive
NATRAJ,Kovilpatti,9,http://lh3.googleusercontent.com/__FQEBy9Uy255Tlp43Ujp5cRtdxS5UWWOjSI7SqGe6TnjL_jkhbcuKxU-BqErvYoe2iwgUKyWH6xWMINcHbQquJPP1eaZg,388,30428,4,233,stationery
SKODA,Kayalpattinam,2,http://lh3.googleusercontent.com/9RArw4W3xGaVfR78jhEhSauaSNkrWVucKQ39Ko79yjJ2BaJTcsBXZ5l7WEp1qFIwfAUd-fNi9W-xtP-NqWY4CXQG5kds,63,64440,7,569,automotive
CONTAINERS & BOTTLES,Vellore,12,http://lh3.googleusercontent.com/vEvfcDlqsA5UuHWTk8cdVBgmxRY1a8FbPZFiwZUXKKbdFA5tEpqP0EnB_BzGJWtn-8k-2O1O83_Ukb61bMKAE71KtUMPaQ,874,77409,43,267,kitchenneeds
jhonson baby shampoo,Ambur,4,http://lh3.googleusercontent.com/bjCvxXVBrp_-EnyQRArvZBYrXuXYmaEGCWQZnKgzVSGm_p1TAgYHUwl8yswBHGIA-U3EnCZ3WgjWi-rGlJBTTAqa29C6Mg,838,62082,45,353,babycare
jhonson baby shampoo,Gudiyatham,13,http://lh3.googleusercontent.com/Z8lkecdeBhwLkQMoTYaEBQcaqBkKMZp8Acs3XP41wiW-q6rdAMCyFjDNQpIT_zkLt8PKmJyTjQNa2QZ0_u4ax2U0GRxGQdc,887,42224,39,779,babycare
ARIAT,Vaniyambadi,20,http://lh3.googleusercontent.com/ec5ZrHq9iHgb2wknRpe_fj0uw0oBjp-_TAQBXcDO34ssjsDINDKqEAFulBuJ1Ven3n6RAN5xXz-R0Gm3sfjA5R91iJTI,517,44881,70,443,shoes
fasttrack,Arakkonam,7,http://lh3.googleusercontent.com/DE2y3ZbVznVv8g_rBnp0vAFyJ3OdJ-SIVd99L5QsUKhZBp1Npysc6O7FOiWeb-rL9Ed6zStAWVBGCYOrIY9W9fxYHzSJrw,624,1134,92,611,watches
fasttrack,Tiruppattur,20,http://lh3.googleusercontent.com/pGIgS8n_PnuFvBnEfLkFKTDihSTgn5AXHUb0ub_LtqwKrTaLBGqAp1TkgVnvwUIrTDf8-PlmcbaxO6-Zkzu3xhj23aINUQ,659,64957,93,168,watches
CAMLIN,Arcot,4,http://lh3.googleusercontent.com/JXZ1Tm54tql8fGA_KdeeiUR6zF5m_szs6K0CUwP2sVdYGHijgGy3a3pTn6zKuo35XK4J0XxD2PiQlI8pgNVPkJYmA9pjPA,18,25542,9,955,stationery
fasttrack,Ranipet,2,http://lh3.googleusercontent.com/6iUUrU_o1GcDdkcQuQbUsT0jXDtsCk0lsy1kuXPKVHoo3oKwCN51KLiZxzkBJCqodcCf5kVJYy8vhtXfat3Qtq8H6WNaTP8,930,83,15,371,watches
CAMLIN,Pernampattu,13,http://lh3.googleusercontent.com/OdsdYf9f0IJ2gDxgQwKaGxqUCYa7aohwGCXrLUdQpUt2iJSlvaU0A1S_WU7oDMA6rGGmpUJeIaC0xlPRAzQ05otqIwg9cw,142,41191,31,430,stationery
NOVA,Melvisharam,11,http://lh3.googleusercontent.com/5AR0I7eF9KZosEAEmLqorOWeLFU-QUQKk544owjQfoUifgvBjtRCV6qx3ebz7GjW_Ardi8t7ZjbbScEt8HYLiKk2KF1OMQ,199,98170,47,972,trimmers
golden xiaomi,Walajapettai,17,http://lh3.googleusercontent.com/sx8AZpMWWpPla63pzvu96pXtRL4nxOduWui-sbY84TLi1HeoQOvg4EFWwanU_MeLsfF4PXPP0wkhtZeiWpV7u85kPPKK,244,9841,43,195,powerbanks
NOVA,Jolarpet,6,http://lh3.googleusercontent.com/StbTosd7Wkhl4jN7DKy4rruHW_c8CFI49NThSGENxawA8cXmQSeVf0xSiYg-bmw-ZGAD3qtYkPVi6_GrXPnWLf9zEaxK,867,89413,55,499,trimmers
COFFEE MUGS,Villupuram,5,http://lh3.googleusercontent.com/6D2m0fURJFDprF2N_tiFWeKjKRajTj17BDfmbfs2JhIObk24j7GszJMip3bR3tbqDguQpT6x1R8ZpVmsMIey_Amn1uYxC6k,40,6062,16,2,kitchenneeds
CLARKES,Tindivanam,3,http://lh3.googleusercontent.com/3VPUaiJrhq0q4shuf9P34UIRYZZLJlonLqmQt7kJtdMbX-jEN0rt-X4oMjcIBS7Ann_hmktWMaV9-DsXZ8IPHK0qSVyXyg,999,49803,68,490,shoes
SKODA,Kallakurichi,10,http://lh3.googleusercontent.com/DF9Rz8rcMdn1LwZ3MGGeRwURFWNl3isQgXYJBP8nhja65SApw_QfRJFUOKJdDyQGA2zpHhlLvwmw2ANXeCrd99RACXCp,134,70136,2,753,automotive
COFFEE MUGS,Rajapalayam,1,http://lh3.googleusercontent.com/qNlBWKMAQVbyXzlbWytGSXaRv7LfmO8p_IFkGgO59YsaiT-FdMFWJq1o7Kywhmz7hX-1EzzL42T1m8vSD_m2AwqDp_36,610,71181,87,249,kitchenneeds
10400 mah,Aruppukkottai,9,http://lh3.googleusercontent.com/b19rJ4w-w9yReyAAqlU7ImL5mmNSrBFrhilupMQ4X--cbZK5F88M56r8kW4QrEQUiYqXC0GFjm1-i5Yt8KI_kCwEBOmx8w,684,532,74,764,powerbanks
SANITA,Srivilliputhur,5,http://lh3.googleusercontent.com/g8Qk28ckVYinG3pVhcG2iDHtQ2ce3-7H6FyZABEQHDvkxeZ5tIOnJVKxUBoVUzXjO0OAWUtoPYrWi3Jiv-4WlZcPOekAEiI,550,62579,78,624,shoes
SANITA,Sivakasi,17,http://lh3.googleusercontent.com/RZ1lNh9gvCIqhHtHudM56t7IrYDRa3XYnpNNIWm2Sh4hXyFvAJNNe5J9xyY-2hNscgvLDFJe3LYRVQPZaRR7T2mofdLqRw,876,59465,11,683,shoes
SANITA,Virudhunagar,20,http://lh3.googleusercontent.com/g4Zyp8cAISxQ3yotsn22ZFTjD3VtzMLREs9Boupb8d76DtoE_JNwjthQ3fMyE_nozgXXRmCLqBVW7-1yDyYLi4fQb1SNKko,427,97208,7,96,shoes
greetings,Thiruthangal,6,http://lh3.googleusercontent.com/u5sCz1odPxO2piar8jxheBpGTJq5rwgEplsPJiMNE0Nro2mQlF4Va8xAGKCEMh-C4XWmUMaBveUMlRml7mbIKZbRvOcN9g,804,87762,80,350,gifts
SONATA,Sattur,12,http://lh3.googleusercontent.com/zt_Ka_790lOuK4RClUamCF3U2Y33D9kWuxjz71TMXnB_IKdC18bWxV9K5QP20Lb5JuFglozcuXvWY4Zjgxh6QjgKGaHKvw,25,59453,28,221,watches
SANITA,Achalpur,19,http://lh3.googleusercontent.com/WitRl_l4IO3NbTLlh_wQVTA9ze2QVmQS5Brk6L4OuhMRcuGij8cz-ONiVyXTYuKiR8RwWJnmrAhhJzOAwoQrSc3O7ywTNYA,937,13005,2,281,shoes
CONTAINERS & BOTTLES,Achhnera,15,http://lh3.googleusercontent.com/NISodZ3B8xaRhTqm5Ka1pkk9ITHCeqeHH-gGHjrBvmPo0fjtuHogWLfXdazHcwevxlHRINYIJjVsTmggjrGQTM9tfNkbmA,451,87975,32,57,kitchenneeds
jhonson babysoap,Adalaj,8,http://lh3.googleusercontent.com/SkVEXoV3hNhz3h4rQvw7_CysX5QDGnLz-UxkZaNPnfrLagaYzPCO60QwcZAIRZr1R8snsRaM--2gEYD3owXNXrY4bvuD,169,27059,69,392,babycare
SONATA,Adilabad,8,http://lh3.googleusercontent.com/WBa1qWQco95zDx8QgNqseo11TFRO9kLjmyRy63vZIS2EiQSNDkc22FJDxnu2fDIDRuSCgpSKbugDt3WloVowh0mlaCAikQ,978,20504,85,282,watches
MAXIMA,Adityapur,7,http://lh3.googleusercontent.com/OM-bHvBywlRUvqZWgld3DD3DaOZyaR8j8GPezdYHRC0mKLYiXGru0T3V1QvJ5UH-CYJJ_lv_hSYFj0Or7VsceoWm0C3rOQ,794,67255,81,899,watches
CAMLIN,Adoni,2,http://lh3.googleusercontent.com/mI9K3Krm6ZydHlI2eO4e7UQN2K-zw2oGbj37w0wCfvSQmDFqMOSJ2CoEslmOaa6v83WGUZ37Gczig-zH6mBNK5zCyLE9XT8,798,3991,74,927,stationery
CLARKES,Adoor,9,http://lh3.googleusercontent.com/fR9FELFFK05CYjXhFN8I9F38l0W1lqSxNfanD9J2AZOK4yrGm4HF41oPC7VmF9_vT95mM31xV34kQoPN9dQ6DVg57UYP,44,70799,76,346,shoes
CAMLIN,Adyar,16,http://lh3.googleusercontent.com/uLppbEPrsV4eGlnACLtHyqz9nBPAIXTSSbkq1mFpV05StSy3E8KQPT1D134HQvw0IYZ3otvMj4c3H2NddS6EDNxVNAIzKQ,454,9203,52,169,stationery
VOLKESWAGEN,Adra,20,http://lh3.googleusercontent.com/bZXqzEthk9sBjIaoDUvzBXlAUvL5ULWRXZX11MT0knH3dL3b5trtHVazHVZF0-MjToo1_fzyw6ISdZq6J0lfmG3U8fqDxQ,165,98294,30,529,automotive
NEW BALANCE,Afzalpur,4,http://lh3.googleusercontent.com/GtE_j8JY6rK3eCyfjDnFetPr1vOwbD_Stvf0wJ9BmvvxGIir2TRhd5dWjpIK1-heUr4v7RAaNfa3Dbcqng_R1_KSTVB5jw,859,57227,15,966,shoes
teddy bear,Agartala*,17,http://lh3.googleusercontent.com/uOFvZcXCb0NoMZl6EeGab8PP-K6ubqn3ACY4CyQnaNb7jfAkSfqFEoB6Pd-rJdKCXltQQrx1uAGW3Emm-L6EkTI4rZoCXA,689,48498,76,783,gifts
COFFEE MUGS,Agra,9,http://lh3.googleusercontent.com/uFeQhz13f_bE24ulnVAh__jUCu1djBNVULhomBfUkzgqE797cEiaI0KUsv7NvKsjRX5CaOwSqGs_VvdRIwrWL3lLeMvvyw,989,67633,31,568,kitchenneeds
AUDI,Ahmedabad,12,http://lh3.googleusercontent.com/AFezGis1m8DcJGftunhh2pLJG2QEXLAvO-Qn8NmUcOaqPBX61KgCE6b4oDtzME8LzetZXrhz9aWJ4oCCsw2aJCgLhkZgEg,451,7177,11,577,automotive
barbie girl,Ahmednagar,3,http://lh3.googleusercontent.com/dYgpsNH8KEbJ8J5iBneZGGY_5frIW2US7t9l9WLxSNKaDPJU6EuKvB4ANtp2hbo5xAZHSp_6hhjsTcihSsGe1Q3B1Zpu,998,58360,4,479,gifts
sonata,Aizawl,7,http://lh3.googleusercontent.com/qo4g3keAxn8yJyD45bX9Snk2nbDa2C_AGp9g076lAw2M90ihOcWXneJVt7yYB85Q693sMKgA2z_rlN9FbUbC8DimTbHzBA,877,20636,16,158,watches
barbie girl,Ajmer,15,http://lh3.googleusercontent.com/87EJNkUvnIFCu8oOpqHM91BXgvAnvKv9nJ-Xknv_Nudy_cRu1cgwO9iGnVGrLx0neUO3t-jnMFrq-NH1CE1F7IlVnwmauzw,350,79465,1,114,gifts
10400 mah,Akola,17,http://lh3.googleusercontent.com/i86sM_mfTqCJRWMldUKplzR9unT2DP5NQor14ASN6eDMp-KDEbWDyFKitaFcYB4kWuAZeSEREyHV3MZHLyW2SA_OBQs6-Q,72,69746,9,763,powerbanks
CELLO,Akot,17,http://lh3.googleusercontent.com/jvtM-bom6WItGJWl1K57473N2EFdj_QHj9XL7b_RX6UQDj2p41NYgxTdr27YrcjfmK0SdavBoECCflFaLUTKecR8G9y7,531,77,45,579,stationery
NATRAJ,Alappuzha,6,http://lh3.googleusercontent.com/DWdQib6G_oZUSwfh9ed4k3TdcswnplrsPkHjS3-jHnaGmlW1XIdJ1ie37EtycxFqWVFu6gnf-4WaMie6pSDLwlRYZiWAYw,966,74369,99,490,stationery
teddy bear,Aligarh,4,http://lh3.googleusercontent.com/kS2C5zS6dCcj_dOfnnaFbCSVfRs8HMFrUrN5V_Ec6W6FmCExzPb7iuT7iPLeOMCMc50-DCpHyGswAVAfOW9UF_dQWeba,5,97693,18,258,gifts
golden xiaomi,Alipurduar,2,http://lh3.googleusercontent.com/J3QNl2oGulMz_PG9H5YdZ2kAt6_XjI0KDMWPuE4ERiF_qNXQ6N9rUT8yTyEM3m-sv4-5fBvjSkct7jbTj-8xGQaArg6u,52,12995,67,241,powerbanks
VOLKESWAGEN,Alirajpur,19,http://lh3.googleusercontent.com/G777QVcq8ToNeO9hgkWJ5xGP8lfvBoBVx8hkVYdYTmirnMVo2hsjFggsF-pkdtL5BbqFbNWQISX7L73LedzL0OThS1LTig,354,23517,83,225,automotive
VOLKESWAGEN,Allahabad,1,http://lh3.googleusercontent.com/eeToyh4cPiZ-OeOpGv8K-4ZQZ4y2CE1MxTl6UholTR3QTPKd1O-iFk-i9AX0L6TH_45lJTjiimGIzXnB_3e8-BhNvwoCkYE,25,19344,99,290,automotive
VOLKESWAGEN,Alwar,19,http://lh3.googleusercontent.com/K_0ZdV3Rnt4oN_ViKlRCd05sIzqETDE1nigWg9a_Abo2Q_R6k7TJafrANk7pf0g7YNVyTecBGNCbnLUimIuigXsgvF3oGg,754,95893,99,597,automotive
COFFEE MUGS,Amalapuram,12,http://lh3.googleusercontent.com/vkghPIDmNScTGodl-r-xeMy61U4GpLNAFys8FVUmhgKs6JxOwljRaPUBYPxhvqLj2qNMSVHm0QZ4b9-ALPGQX8cYflhcpw,417,57237,44,90,kitchenneeds
VOLKESWAGEN,Amalner,9,http://lh3.googleusercontent.com/-99w11cr3tDHgnGTGGBKQKW5wLS8KInelQZw84GDZmqCSlPkDcUgcerop8qT7T_uBkeNZDHi7wAao47s26Szic39b-HOJw,795,43754,39,150,automotive
jhonson baby shampoo,Ambejogai,9,http://lh3.googleusercontent.com/T2TEykcPlgrBsOMZAAt3qnMZLFxnje6zGnQekcoV4fPiF-TtHLMKCI4ESiQ1AE9Cc9JTpk4iQBkysISlPU3TjycWONIa5Q,125,93713,47,994,babycare
SONATA,Ambikapur,10,http://lh3.googleusercontent.com/AvTCILAyXHReV5Q1S69bFeTnDTwmWAthqgjYpYAc0G5989jHZy2YvKn-1iQ8_1kzeXuinCxwMJjarrAvlwUA_8N_IlsizKA,694,51832,92,499,watches
NOVA,Amravati,2,http://lh3.googleusercontent.com/tAWaCJGMn-M8EJpKXmSZD0uK7h_VHxnKwPpnmEq53cuXvsmff-DY-yqQpM4rXu9EB7YIhtQXComBKo7orbC_RTqEcTBP0g,493,48984,13,309,trimmers
SKODA,Amreli,2,http://lh3.googleusercontent.com/Av8FlqNepczkI4FrtNY_XCj0HZDgoHjVIwtm8n1J1Vq9JiURQ0Yn-fnaibahyIyQaX2CRIzt06Jrdx2bVwPIkOr4iPcLbRg,142,57135,38,512,automotive
NEW BALANCE,Amritsar,4,http://lh3.googleusercontent.com/VMaCVehxlNOBCQwkKoBz_oqGyECLk3fQ7ocRLhDlOScXb7lvYsE78U9v5hyH-qMZ1Q5LG9vhIpjTwc5nLyz9ljcJPClMKg,47,56936,93,440,shoes
CAMLIN,Amroha,7,http://lh3.googleusercontent.com/ChojnpRMHPpWBNxabTgrjfPqIToxpOfJsIzKakkA-GqwDr1BrMiHAAbcO38DPOtVRDUeh7GSoZeDT9WLrvqEKpJT5B3f,652,96294,31,889,stationery
CAMLIN,Anakapalle,2,http://lh3.googleusercontent.com/jSpOzniOieHukKTxoZyqUQQk4NCr5VeQXtw08s6puYD7Ldonq3pzR90uviOQzYfp1ppORCTUfDbyWZNI4liZee1__KI_,674,70373,30,859,stationery
CLARKES,Anand,15,http://lh3.googleusercontent.com/tJW0_iNqgr3MUM0Pe6u8wRuSstgIdZ3It0mBPu9kQLK-L9LFg_H21wdaFUpPH8v4KABHwCEkgDL6r8pO0rcGhpOwgXq-mw,991,63786,77,183,shoes
SANITA,Anantapur,4,http://lh3.googleusercontent.com/2AbOcJhFyTrwOhn36i88Sjx1a-sWeZOd7zjWTJ7IHK60tXUdHeNym0ISRRqXKV1omRdqkESdxkMOAqqexbbnjDHFQ4u_4Q,40,32566,14,691,shoes
VOLKESWAGEN,Anantnag,4,http://lh3.googleusercontent.com/_htNca6nsCqShr8kfmsLqsq5Dp7dPKZPZTN8NCfwzjQbfASsrp5wiVgSW_agksdzk5YOfZP8NSIWT9yKxAU0J--LRSzysQ,266,20564,82,727,automotive
VOLKESWAGEN,Anjar,8,http://lh3.googleusercontent.com/uDNUi4PmsEiUOAI2rWOYsFzwNy9azrEtzUdb8hxgSB_j4Q5xfgoY6ge0o4oF-A19L5bhJvJm52UB8WJR8SbyW7BknDVAaQ,304,26319,57,309,automotive
VOLKESWAGEN,Anjangaon,19,http://lh3.googleusercontent.com/m6NOc9VGglYreiZX0As6LQTqyKcdWTOlX9DgsKR_GfeV5VUsz6b8hIJzkWKEMfjlgE_-I3hVVyFbKRE_x52fItKK6XLY_g,469,95748,26,552,automotive
titan,Ankleshwar,6,http://lh3.googleusercontent.com/67qVgSu4YSSdC1aDzUCgt7umgFNqzQo_AOn52uwhCP6bo2d0Gh_Qeg7KIWCXYYrvMjRklHDU166akJAmtTmLR7QwL8MZP3s,361,43902,53,508,watches
golden xiaomi,Arakkonam,10,http://lh3.googleusercontent.com/c0uee66O2FYOkD3p7x8gj_bINhT-rF12EIoGU8joZT-4Tci1JkhELhI8FQCmyXGS-cRyQvvqrCyk-Ik9v_LC_dB4_nZNMA,379,52356,17,65,powerbanks
NOVA,Araria,15,http://lh3.googleusercontent.com/_UFyZEjopjFJILgds0wBRWqiSQD78iFwyM7x8LnBDlHVtyeF_K4PAC92GG0BV7UVhk3aUKCBg1a3xWZDbyZK_IKgzLwpRS8,164,60887,84,933,trimmers
CAMLIN,Arambagh,1,http://lh3.googleusercontent.com/2VYtKrlhOHESS_FBg1g3eOIWaXBzQV49VAFRgfrES9eToyK5oTFNwvUWJMuQDaO8Qct2Ba3_18Kx7eQA04Sewm7PYXD1wEI,622,75550,64,488,stationery
golden xiaomi,Arsikere,5,http://lh3.googleusercontent.com/eIY9AKh0cIJhduusDVIu5rvkY6CXgV4DgXykiQeAaYgFl5wH3Q-zEs3Qpyumqfj_NTio_3zk62v0BoDu2y1xQo1rI3hbBA,255,56037,14,329,powerbanks
jhonson baby oil,Arrah,19,http://lh3.googleusercontent.com/ZT7a4vqPf0oSmGFZc-Yv_7VU_Ooa0kO94YI-V8m1xDFrjbjXi3ujpnj6oRfpKWz9qqH56JLLJwRgqa6Yxi8MEaz9QlW8vg,499,8193,69,948,babycare
AUDI,Aruppukkottai,5,http://lh3.googleusercontent.com/_r_f0srFA1CAXn7hToxLOWcpzdJE7xyT1yLd1owudLdxFGB8r9kQLjS-mUSQdWAJUZpgBFR3rQ3sGJdyTNOzsijr7Pz3jA,161,1663,88,32,automotive
NOVA,Arvi,18,http://lh3.googleusercontent.com/h4HP7UjdNSo6wV_-y76Qw4TqO1mYYMo7-4JWTLrpRSiPpwlUOGAMW6BYM5rMHrkQuisCID9zyf3ZGuhR4JFBzipfWFMwllE,705,84187,41,137,trimmers
VOLKESWAGEN,Arwal,17,http://lh3.googleusercontent.com/_uoUEWHQg5MQ5eh538hmnYGitBeLP2U4NdhlWN-z9cqiBHaiXDf6rpFwe2x6zxOsu7Xsia1aD71C-Tp1JegPggDtIOFW,376,70706,75,183,automotive
CAMLIN,Asansol,17,http://lh3.googleusercontent.com/fAAbEzNvf1zSOb-DhGj-Ag3QbBKRttHw4ebxidHK9_3L1qfEzkTAUzPKRx6kaLtagwhIVAWP1tUU3r15SYztHrmXpebkAE4,582,9716,77,599,stationery
AUDI,Asarganj,7,http://lh3.googleusercontent.com/9y1yncGti7f0KlJ8g4djVWY7k4oBcu4Z7y4T6yEGf_FY6d82KtiiLBc_ZnWTw38zOCdX5ix3ZlY29bOZZAJQ1dpd1QeNDw,573,45014,2,880,automotive
